Area_Name,Area,BHK,Bathroom,Transaction,Furnishing,Type,Price
rohini,750,2,2,New_Property,Semi-Furnished,Apartment,5000000
rohini,950,2,2,Resale,Furnished,Apartment,15500000
rohini,600,2,2,Resale,Semi-Furnished,Builder_Floor,4200000
rohini,650,2,2,New_Property,Semi-Furnished,Builder_Floor,6200000
rohini,1300,4,3,New_Property,Semi-Furnished,Builder_Floor,15500000
rohini,1350,4,3,Resale,Semi-Furnished,Builder_Floor,10000000
rohini,650,2,2,New_Property,Semi-Furnished,Apartment,4000000
rohini,1300,4,4,New_Property,Semi-Furnished,Builder_Floor,15000000
rohini,1100,3,2,New_Property,Semi-Furnished,Builder_Floor,6200000
rohini,550,2,2,New_Property,Semi-Furnished,Builder_Floor,4500000
rohini,1100,4,3,New_Property,Semi-Furnished,Builder_Floor,17000000
rohini,1150,3,3,Resale,Semi-Furnished,Apartment,25000000
rohini,650,2,2,Resale,Semi-Furnished,Builder_Floor,6000000
rohini,850,2,2,Resale,Semi-Furnished,Apartment,11000000
rohini,900,3,2,Resale,Semi-Furnished,Builder_Floor,4500000
rohini,900,2,2,Resale,Semi-Furnished,Apartment,10500000
rohini,1100,3,3,New_Property,Furnished,Builder_Floor,7000000
rohini,800,3,2,Resale,Semi-Furnished,Builder_Floor,7000000
rohini,500,1,1,Resale,Semi-Furnished,Apartment,3400000
lajpat nagar,900,2,2,New_Property,Semi-Furnished,Builder_Floor,13000000
lajpat nagar,1000,3,3,New_Property,Semi-Furnished,Builder_Floor,22000000
lajpat nagar,900,2,2,New_Property,Semi-Furnished,Builder_Floor,15800000
lajpat nagar,900,2,2,Resale,Unfurnished,Builder_Floor,10000000
lajpat nagar,1600,3,3,New_Property,Unfurnished,Builder_Floor,30000000
lajpat nagar,1150,3,3,New_Property,Semi-Furnished,Builder_Floor,24000000
lajpat nagar,1500,3,3,Resale,Semi-Furnished,Builder_Floor,31500000
lajpat nagar,850,2,2,Resale,Semi-Furnished,Builder_Floor,14600000
lajpat nagar,8000,4,5,New_Property,Semi-Furnished,Builder_Floor,240000000
lajpat nagar,1100,3,3,New_Property,Unfurnished,Builder_Floor,22500000
lajpat nagar,1500,3,3,Resale,Semi-Furnished,Builder_Floor,40000000
lajpat nagar,2700,4,4,Resale,Semi-Furnished,Builder_Floor,55000000
lajpat nagar,1400,3,3,Resale,Unfurnished,Builder_Floor,24500000
lajpat nagar,1800,3,3,Resale,Unfurnished,Apartment,24500000
lajpat nagar,1400,3,3,New_Property,Semi-Furnished,Builder_Floor,32500000
lajpat nagar,1000,2,2,Resale,Furnished,Apartment,20000000
lajpat nagar,1700,3,3,Resale,Furnished,Builder_Floor,19000000
lajpat nagar,1600,3,3,Resale,Unfurnished,Builder_Floor,26000000
lajpat nagar,1350,3,3,Resale,Unfurnished,Builder_Floor,21000000
lajpat nagar,1700,3,3,Resale,Semi-Furnished,Builder_Floor,27500000
lajpat nagar,1450,3,3,New_Property,Semi-Furnished,Builder_Floor,45000000
lajpat nagar,1350,3,3,Resale,Semi-Furnished,Builder_Floor,21000000
lajpat nagar,1700,3,3,Resale,Unfurnished,Builder_Floor,28000000
lajpat nagar,1600,3,3,Resale,Unfurnished,Builder_Floor,29500000
lajpat nagar,1350,2,2,Resale,Furnished,Builder_Floor,12500000
lajpat nagar,1500,3,3,New_Property,Semi-Furnished,Builder_Floor,26000000
lajpat nagar,750,2,2,New_Property,Semi-Furnished,Builder_Floor,11500000
lajpat nagar,1350,3,3,Resale,Semi-Furnished,Builder_Floor,22000000
lajpat nagar,900,2,2,New_Property,Semi-Furnished,Builder_Floor,13400000
lajpat nagar,1800,3,3,New_Property,Semi-Furnished,Builder_Floor,35000000
lajpat nagar,900,2,2,Resale,Furnished,Builder_Floor,11000000
lajpat nagar,900,2,2,Resale,Unfurnished,Builder_Floor,6300000
lajpat nagar,900,2,2,Resale,Furnished,Builder_Floor,12500000
lajpat nagar,800,2,2,New_Property,Unfurnished,Builder_Floor,14500000
lajpat nagar,1100,2,3,New_Property,Semi-Furnished,Builder_Floor,22500000
lajpat nagar,900,2,2,New_Property,Unfurnished,Builder_Floor,13000000
lajpat nagar,1350,3,3,New_Property,Semi-Furnished,Builder_Floor,25000000
lajpat nagar,750,2,2,New_Property,Semi-Furnished,Builder_Floor,16500000
lajpat nagar,900,2,2,New_Property,Unfurnished,Builder_Floor,10300000
lajpat nagar,1350,3,3,New_Property,Semi-Furnished,Builder_Floor,26000000
lajpat nagar,900,2,2,Resale,Unfurnished,Builder_Floor,11000000
lajpat nagar,1800,3,3,New_Property,Unfurnished,Builder_Floor,28500000
rohini,1000,2,2,Resale,Semi-Furnished,Apartment,7600000
rohini,1550,4,3,New_Property,Semi-Furnished,Builder_Floor,12500000
rohini,850,3,2,New_Property,Semi-Furnished,Builder_Floor,6500000
rohini,850,3,2,New_Property,Semi-Furnished,Builder_Floor,7300000
rohini,950,3,2,New_Property,Semi-Furnished,Builder_Floor,7600000
rohini,2300,4,4,New_Property,Semi-Furnished,Builder_Floor,20000000
rohini,800,2,2,New_Property,Semi-Furnished,Apartment,5500000
rohini,350,1,1,New_Property,Semi-Furnished,Apartment,2000000
rohini,1600,4,3,New_Property,Semi-Furnished,Apartment,13000000
rohini,1450,3,3,New_Property,Semi-Furnished,Apartment,11500000
rohini,1600,3,3,New_Property,Semi-Furnished,Apartment,13500000
rohini,1500,3,2,New_Property,Semi-Furnished,Apartment,12000000
rohini,550,2,2,New_Property,Semi-Furnished,Apartment,3500000
rohini,2500,4,3,New_Property,Semi-Furnished,Apartment,15000000
rohini,2800,5,4,New_Property,Semi-Furnished,Apartment,17500000
rohini,300,1,1,New_Property,Semi-Furnished,Apartment,1900000
rohini,800,3,2,New_Property,Semi-Furnished,Apartment,5500000
